UPC,Название,Исполнитель,Платформа,Вид использования,Период начала,Период окончания,Количество,Вознаграждение Лицензиара (Авторские),Вознаграждение Лицензиара (Смежные),Лейбл
GUT12980,11,SMOKEFULLBOY,vk,Аудиостриминг,,,1,0,"0,02",Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Аудиостриминг,,,1,0,0,Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Аудиостриминг,,,1,0,0,Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Аудиостриминг,,,1,0,0,Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Подписка,,,1,0,"0,02",Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Подписка,,,2,0,"0,06",Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Подписка,,,4,0,"0,1",Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Подписка,,,9,"0,06",0,Ckeabrona Beats
5063466403483,19,OTALOE,Apple Music,Подписка,,,1,0,"0,28",ICECREAMMUSIC
5063466403483,19,OTALOE,SoundCloud,Аудиостриминг,,,1,0,"0,08",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,1,0,"0,05",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,7,0,"0,15",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,7,0,"0,15",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,4,0,"0,15",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,23,0,"0,47",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Подписка,,,6,0,"1,09",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Подписка,,,19,0,"3,44",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,8,"0,03",0,ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,8,"0,03",0,ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,26,"0,08",0,ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Тексты песен,,,3,"0,09",0,ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Подписка,,,6,"0,27",0,ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Подписка,,,22,"0,85",0,ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Подписка,,,1,0,"0,02",ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Аудиостриминг,,,4,0,"0,02",ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Аудиостриминг,,,9,0,"0,06",ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Подписка,,,15,0,"0,56",ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Подписка,,,34,0,"1,32",ICECREAMMUSIC
